1,One Dance,1,3422562723,173,1462492800,1,2,null
2,Die With A Smile,4,999850173,251,1723766400,null,6,[5]
3,FE!N,1,1038614623,191,1690502400,2,8,null
4,24K Magic,2,1541822223,228,1479340800,3,5,null
5,Blinding Lights,2,4568995895,200,1584662400,5,4,null
6,Not Like Us,1,906361648,274,1714780800,null,3,null
7,On My Way,5,730009332,193,1553126400,null,[...],"[10, ...]"
8,Stargirl Interlude,2,1235570641,111,1479945600,6,1,[9]
9,APT.,3,385562862,169,1729209600,null,7,[5]
10,BIRDS OF A FEATHER,6,1502857810,210,1715904000,7,4,null
